,roles,companies,locations,experience,skills
467,DATA SCIENTIST,Fiddich Consulting,Bengaluru,5-8 Yrs,"Algorithms
Data modeling
Analytical
Machine learning
Grid
Perl
Data mining
MATLAB"
468,Data Scientist,Talent Zone Consultant,Bengaluru,4-6 Yrs,"4 plus years of experience of working in the areas related to data science including machine learning and text mining
Expert in R and Python with firm understanding of statistical modelling techniques and should be adept at handling unstructured data"
469,Data Scientist,Sequretek IT Solutions Pvt. Ltd.,Bengaluru,1-4 Yrs,"IT Skills
Python
Data Science
Machine Learning
Computer science
algorithms
python
data security"
470,Data Scientist,Zauba Technologies & Data Services Private Limited,Bengaluru,3-5 Yrs,"development
Hadoop
Tools
Data mining
Apache
Business Executive
SQL
quality"
471,Lead Data Scientist,Proliant Infotech Pvt Ltd,Bengaluru,7-12 Yrs,"IT services
C++
Image processing
Analytical
Machine learning
Outsourcing
Data mining
Analytics"
472,Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bengaluru,5-10 Yrs,"algorithms
SAS
technical
software
methods
testing
Data structures
Data mining"
473,Data Scientist,Global Talent Pool,Bengaluru,2-4 Yrs,"Computer science
Data analysis
SAS
data science
data visualization
Ruby
SQL
Python"
474,Associate Data Scientist,Client of PeopleLogic,Bengaluru,6-8 Yrs,"Engineering
DBA
Engineer
data
Technology
Computer Science
Database
engineer"
475,Data Scientist | Academic Operations,AXCESS CONSULTANCY SERVICES,Bengaluru,1-5 Yrs,"data cleansing
Automation
Data analysis
Operations Manager
data science
Manager Program Management
Data collection
Feasibility analysis"
476,NLP Data Scientist,Finite HR Consulting Private Limited,Bengaluru,3-5 Yrs,"Technical product configuration
c++
C
design
MySQL
JavaScript
integration PHP
HTML"
477,Azure IoT Data Scientist,Varite,Bengaluru,5-10 Yrs,"Backend
Hadoop
power bi
Management
Cosmos
SQL Azure
Analytics
Analysis services"
478,Data scientist,Multi Recruit,Bengaluru,3-5 Yrs,"deep learning
data science
Application programming
Consulting
Social networking
Fraud analytics
Data structures
Research"
479,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,1-5 Yrs,"deep learning
data science
Analytics
Python"
480,Manager - Data Scientist,RGF Professional Recruitment India,Bengaluru,10-15 Yrs,"Supply chain
Business process
Cloud computing
Business objects
MS SQL
Semiconductor
SAP
Agile"
481,Data Scientist,Pattern Effects Labs,Bengaluru,2-7 Yrs,"Statistical analysis
Data mining"
482,Data Scientist,Ness Technologies,Bengaluru,5-10 Yrs,"Performance tuning
jQuery
Front end
System programming
Javascript
Data structures
HTML
WCF"
483,Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling"
484,Lead Data Scientist - Machine /deep Learning,Confidential,Hyderabad,5-8 Yrs,"Data Science
R
Data Scientist
Artificial Intelligence
PySpark
Data Management
Statistical Analyst
Machine Learning"
485,Sr . Data Scientist,Decision Point Analytics,Gurgaon,3-5 Yrs,"Statistical programming
Academic Research
SAS
Machine learning
SCALA
Data analytics
Data mining
Business understanding"
486,Senior Manager - Data Scientist - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
487,Senior Deep Learning Data Scientist,Number Theory Software,Gurgaon,2-6 Yrs,"Computer vision
deep learning
software architecture
Image processing
Data modeling
Coding
Neural networks
Data structures"
488,Data Scientist,Seven Consultancy,"Navi Mumbai, Mumbai",3-6 Yrs,"Data analysis
Artificial Intelligence
Machine learning
Management consulting
Pattern recognition
Data mining
Forecasting
SQL"
489,Data Scientist,AGUILASS,"Hyderabad, Gurgaon",3-6 Yrs,"spark
SCALA
Machine learning
Hadoop
Data Analyst
Business intelligence
big data
Predictive analytics"
490,Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,"Navi Mumbai, Mumbai",2-7 Yrs,"Computer science
Data analysis
Machine learning
Data collection
Predictive modeling
Data mining
big data
MATLAB"
491,Data Scientist Level I,Bit Brothers Tech Pvt Ltd,Mumbai,2-4 Yrs,"Computer science
C++
Operations research
Analytical
Machine learning
Business intelligence
Data mining
Analytics"
492,Data Scientist,Wcities Content Solutions Pvt. Ltd.,Mumbai,2-6 Yrs,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
493,Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"Usage
SAP
Claims
SAS R
Clinical trials
Programming
Excellent Communication skill
Clinical research"
494,Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,2-7 Yrs,"Computer science
Data analysis
Tracking
Machine learning
Tools
Data collection
MSC
Data mining"
495,Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"python
NLP
Pharma
Medical
Management
Safety
machine learning
big data"
496,AWS Data Scientist- Exponentia.ai- Mumbai,Exponentia.ai,Mumbai,5-10 Yrs,"s3
Data Science
python
r
predictive modeling
Lead Data Scientist
machine learning
aws lambda"
497,Data Scientist,Hyrefox,Mumbai,1-3 Yrs,"Computer vision
deep learning
spark
Opencv
Machine learning
Packaging
Data structures
Statistics"
498,Data Scientist - R / C + + / Python,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
499,Data Scientist,Linedata,Mumbai(Vikhroli),4-9 Yrs,"python
nlp
natural language processing
sentiment analysis
data mining
statistical modeling
machine learning
pattern recognition"
500,Data Scientist - Python/sas/r,Huquo Consulting Pvt. Ltd,Mumbai,2-6 Yrs,"Data Science
SAS
Data Scientist
Data Mining
Data Visualization
Web Analytics
Data Analytics
Statistics"
501,Lead Data Scientist,Bit Brothers Tech Pvt Ltd,Mumbai,4-6 Yrs,"Computer science
Statistical analysis
Data management
data science
Machine learning
Data quality
Data mining
MATLAB"
502,Data Scientist,Toucon Consulting,Mumbai,1-5 Yrs,"Computer vision
deep learning
Opencv
Machine learning
Packaging
Data structures
Calculus
Statistics"
503,Data Scientist,Fluidscapes Consultants Pvt. Ltd.,Mumbai,2-7 Yrs,"Training
data science
Artificial Intelligence
Machine learning
Management
Data mining
big data
MATLAB"
504,"Data Scientist, Pratham Digital",PRATHAM Education,"Mumbai, henry,uttar pradesh,rajasthan",5-8 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
505,Excellent Opportunity- Data Scientist @ Mumbai,Peoplefy Infosolutions Pvt. Ltd.,Mumbai,3-8 Yrs,"predictive modelling
python
tableau
data modelling
data scientist
machine learning
sql"
506,Data Scientist,RedLotus,Mumbai,3-5 Yrs,"Computer science
SAN
Statistical modeling
French
Analytical
Machine learning
Cook
data visualization"
507,Data Scientist,Hookfish.in,Mumbai,4-8 Yrs,"Graphics
Administration
Sales operations
Strategic planning
PHP
Entrepreneur
Business strategy
Budgeting"
508,Data Scientist Career Data Analytics Companies,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,10-15 Yrs,"Data analysis
Product engineering
Policies
Information security
Tools
Service
Data analytics
Oracle"
509,Lead Data Scientist,Snaphunt,Mumbai,3-8 Yrs,"Data Science
Data Quality
Business Solutions
Computer Science
Data Mining
Data Analytics
Machine Learning
Statistical Analysis"
510,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,Mumbai,1-6 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
511,Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
512,Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
513,Data Scientist R C Python,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Information technology
Analytics"
514,Data Scientist,The Talent GPS,Mumbai,2-7 Yrs,"Computer science
Operations research
NoSQL
Machine learning
SCALA
data visualization
Forecasting
SQL"
515,Data Scientist,Angel Broking Limited,Mumbai,3-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
516,Data Scientist,NSE.IT Ltd,Mumbai,5-10 Yrs,"Text mining
deep learning
Automation
Neural networks
Machine learning
Housing finance
Deployment
data visualization"
517,Data Scientist - CrossTab IT Consulting,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
518,Data Scientist,Pratham Edusys Pvt Ltd,"Mumbai, henry,uttar pradesh,rajasthan",5-10 Yrs,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
519,Data Scientist,Aureus Analytics,Mumbai,5-10 Yrs,"Logistic regression
data science
Neural networks
Machine learning
Actuarial
Mathematics
Customer experience
Forecasting"
520,Data Scientist,Aureus Analytics,Mumbai,5-10 Yrs,"Logistic regression
data science
Neural networks
Machine learning
Actuarial
Mathematics
Customer experience
Forecasting"
521,Lead Data Scientist - Machine Learning/ Deep Learning,SKS Enterpprises,Pune,12-16 Yrs,"NLP
Data Scientist
Data Management
NLU / NLG
Data Modeling
Data Analytics
Algorithm
Machine Learning"
522,Data Scientist Opening with Top Healthcare organization For Bangalore,Collabera Technologies Private Limited,Bengaluru,5-10 Yrs,"NLP
Artificial Intelligence
Data Scientist
Hadoop
Pandas
Senior Data Scientist
Keras
Spark"
523,Excellent Opp For Data Scientist For Bangalore with top Healthcare Org,Collabera Technologies Private Limited,Bengaluru,5-10 Yrs,"NLP
Data Scientist
Hadoop
Senior Data Scientist
Keras
Spark
Machine Learning
Numpy"
524,Lead - Data Scientist - Kota ( Rajasthan ).,Consult in India,Kota,4-9 Yrs,"Data Validation
Business Intelligence
C++
Big Data Analytics
Data Mining
Machine Learning
SQL
Data Integration"
525,Data Scientist - Delhi (automobile OEM),Industrial Personnel Network,Delhi,5-8 Yrs,"data scientist
big data
Data Analytics"
526,Senior Data Scientist,Emerging India Group,"Delhi, Noida",7-12 Yrs,"Mining
Statistical analysis
SAS
Machine learning
data visualization
big data
Predictive analytics
SQL"
527,Senior Data Scientist,Applied Data Finance,Chennai,3-7 Yrs,"MySQL Object Oriented program
g Python query language Python"
528,Senior Data Scientist,iNICU,Delhi,1-5 Yrs,"rest
python
data domain
Forecasting
sql
Computer science
java
spark"
529,Data Scientist / Sr. Data Scientist,PIRAMAL ENTERPRISES LTD,Vadodara,4-8 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
530,Data Scientist / Sr . Data Scientist,Piramal Healthcare,Vadodara,4-7 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
531,Data Scientist,Sentieo,Delhi,2-7 Yrs,"Text mining
Logistic regression
Equity research
Machine learning
Data collection
Hypothesis Testing
Workflow
data visualization"
532,Senior Data Scientist,Opscruise,Chennai,5-10 Yrs,"Assurance
Networking
GCP
Machine learning
Javascript
Instrumentation
Pattern recognition
Oracle"
533,Senior Data Scientist,TechVantage Systems Private Limited,Trivandrum,2-5 Yrs,"Computer science
data cleansing
deep learning
Product engineering
Machine learning
Predictive modeling
data visualization
Data mining"
534,Senior Data Scientist,AICHUNKS Private Limited,Chandigarh,3-8 Yrs,Machine learning
535,Position Senior Data Scientist,Positive Integers Pvt Ltd,Chennai,3-8 Yrs,"SAS
Workflow
Mentor
Analytics
Python"
536,Data Scientist and Data Engineer,Squircle IT Consulting Services Pvt Ltd,Chennai,3-7 Yrs,"Product management
Algorithms
Prototype
Data modeling
Machine learning
Algorithm development
Grammar
Subject Matter Expert"
537,Manager -Data Scientist,Spectrum Talent Management,Noida,5-10 Yrs,"Economics
E-learning
advanced analytics
Data analysis
Statistical modeling
Staffing
Mathematics
Talent management"
538,Senior Data Scientist / Algorithms Specialist,AmyLogic,Jaipur,4-6 Yrs,"Algorithms
SAS
Web analytics
MySQL
Tools
J2Ee
Informatica
Oracle"
539,Data Scientist,Reubro International,"Kochi, Cochin/ Kochi/ Ernakulam",3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
540,Data Scientist,Reubro International,Kochi,3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
541,Data Scientist,Reubro International,Kochi,3-8 Yrs,"sap
data management
data mining
solutions
operations research
api
machine learning
sql"
542,Data Scientist,Walmart,Other,0-5 Yrs,NA
543,Data Scientist _ Senior,AXCESS CONSULTANCY SERVICES,Kochi,1-5 Yrs,"Data analysis
Business analytics
Consulting
Machine learning
Data collection
Agile
Business intelligence
Information technology"
544,Senior Data Scientist,Intellithink,Chennai,2-5 Yrs,"data cleansing
Machine learning
Programming
Predictive modeling
big data
SQL
Python"
545,Senior Scientist/nlp/machine Learning/data Mining,Career Maker,Bengaluru,4-9 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
546,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Chennai,7-12 Yrs,"Computer science
Web analytics
Machine learning
Data structures
HTML
Test cases
Open source
Data mining"
547,Senior Data Scientist,CrossML,Chandigarh,5-9 Yrs,"Computer science
deep learning
data science
Machine learning
Information retrieval
Mathematics
Customer experience
Research"
548,Data Scientist,Mahajan Imaging,Delhi,2-6 Yrs,"Medical imaging
Focus
Access
Clinical research
Medical
Data analytics
informatics
SQL"
549,Data Scientist,Mahajan Imaging,Delhi,2-6 Yrs,"Medical imaging
Focus
Clinical research
Data analytics
informatics
SQL"
550,VP - Data Scientist,Posterity Consulting,haryana,7-12 Yrs,"Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
551,data scientist (internship),BugendaiTech,Lucknow,0-1 Yrs,Internship
552,Data Scientist (Internship),BugendaiTech,Indore,0-1 Yrs,Internship
553,"Data Scientist /Data Science Engineer with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd.,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"python
c++
c
java
data science
Data science engineer
Data Scientist
linux"
554,Walk-in Drive For Data Scientist - March 19,FTD India Pvt. Ltd,Hyderabad,3-5 Yrs,"PowerShell
Java
Chatbots
Google Dataflow
Text Mining
Machine Learning
Deep Learning
Data Science"
555,Data Scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,Hyderabad,1-5 Yrs,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
556,Looking For Data Scientist in Hyderabad only PHD,Anlage Infotech (I) Pvt. Ltd.,Hyderabad,5-9 Yrs,"trading
analytics
Finance Domain
capital
Data Scientist
Senior Data Scientist
investment
Mathematics"
557,TTEC - Data Scientist,TTEC,Hyderabad,1-3 Yrs,"Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
558,Data Scientist,HYBRIDCLOSYS SOFTWARE SOLUTIONS PRIVATE LIMITED,Hyderabad,6-9 Yrs,"Machine Learning
Python
SQL
R
Programming
Data Mining"
559,Data Scientist,Franklin Templeton International,Hyderabad,3-5 Yrs,"Computer science
data cleansing
SAS
Analytical
Machine learning
HTTP
Medical insurance
Data mining"
560,Data Scientist - Nlp/r/python,The Hiring Story,Hyderabad,2-5 Yrs,"Data Science
R
NLP
NoSQL
Data Scientist
Data Management
Python
SQL"
561,Data Scientist,TensorGo Technologies Private Limited,Hyderabad,2-6 Yrs,"Computer vision
Logistic regression
Statistical analysis
data science
MySQL
Machine learning
SCALA
Programming"
562,Data Scientist,Diverse Lynx India Pvt. Ltd,Hyderabad,3-5 Yrs,"big data analytics
Machine learning
linear regression
Data structures
Natural language processing
Predictive modeling
Pattern recognition
Data mining"
563,Data Scientist/ml/dl/python/timeseries,Prokarma Softech Pvt. Ltd.,Hyderabad,8-11 Yrs,"Tensorflow
Anomaly Detection
Data Science
Time Series
Keras
Root Cause
Machine Learning
Deep Learning"
564,Data Scientist,Prokarma Softech Pvt. Ltd.,Hyderabad,8-9 Yrs,"Azure
Power Bi
Data science
DL
AI
Panda
Deep learning
appdynamics"
565,Data Scientist -,Diverse Lynx India Pvt. Ltd,Hyderabad,3-6 Yrs,"big data analytics
Machine learning
linear regression
Data structures
Log analysis
Predictive modeling
Pattern recognition
Data mining"
566,Data Scientist,Dvara Trust,Hyderabad,3-5 Yrs,"Effective Communication
Algorithms
Use Cases
Data Structures
Web Technologies
Continuous Improvement
Machine Learning"
567,Data Scientist - Analytics & BI,Golechha Capital,Hyderabad,4-9 Yrs,"SAS
Analytical
Management consulting
Capital market
Business intelligence
Data mining
Portfolio management
Financial services"
568,Requirement of Data Scientist - Mortgage Finance,FinAcPlus,Hyderabad,3-8 Yrs,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
569,Data Scientist,Seven Consultancy,Hyderabad,3-5 Yrs,"Computer science
advanced analytics
Data management
Renewable energy
data science
big data analytics
Analytical
Workflow"
570,Data Scientists,Analytics Vidhya Educon Pvt. Ltd,"Pune, Gurgaon",4-6 Yrs,"Computer science
Publishing
Analytical
Agile
Healthcare
HTML
Project planning
Predictive modeling"
571,Data Scientist,GD Research Center Pvt Ltd,Hyderabad,2-4 Yrs,"Data analysis
Team management
Data management
Project management
Consulting
Data collection
Project planning
Data mining"
572,Head - Data Scientist - Data Mining/ Machine Learning,Talent Socio,Gurgaon,5-9 Yrs,"Predictive Modeling
R
NLP
Data Scientist
Artificial Intelligence
Time Series Forecasting
Statistical Modeling
Data Mining"
573,Data Scientist - Machine Learning - Ecommerce,TalPro,Gurgaon,2-6 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
Python
SQL"
574,Most urgent vacancy For Data Scientist-Mumbai,Genius Consultants Limited,Mumbai,5-10 Yrs,"Data Scientist
Machine Learning
sr.data scientist
Deep Learning"
575,Data Scientist,"Entytle, Iinc.",Pune,2-4 Yrs,"Product management
Computer science
Cloud computing
Data analysis
GIT
Analytical
Machine learning
Agile"
576,DATA SCIENTIST,Alpha ICT LLP.,Pune,5-7 Yrs,"Computer science
Business objects
Data analysis
Google Analytics
Machine learning
TIBCO
Data structures
Firmware"
577,Data Scientist,Smart Monitor,Pune(Senapati Bapat Road),2-5 Yrs,"Spotfire
Power Bi
Alteryx
Initio
Tableau
Informatica
Microstrategy
R"
578,Data Scientist - Quality Assurance,NICE Ltd,Pune,3-5 Yrs,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
579,Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
580,Data Scientist - Quality Assurance,NICE Ltd,Pune,3-5 Yrs,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
581,Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
582,Data Scientist- Pune,SS Supply Chain Solutions Pvt. Ltd. (3SC),Pune,2-5 Yrs,"algorithms
r
python
data mining
Machine Learning
predictive analysis"
583,Data Scientist,Hire IT People,Pune,2-5 Yrs,"Computer science
Statistical analysis
spark
Machine learning
Hadoop
big data
Statistics
Supervision"
584,DATA SCIENTIST,SGF Global,Pune,5-10 Yrs,"Computer science
SAS
Coding
Machine learning
Application development
Data mining
Machinery
Analytics"
585,Data Scientist - IT,GridEdge Technologies,Pune,1-5 Yrs,"Computer science
Analytical
Machine learning
Data collection
Perl
data visualization
Data mining
MATLAB"
586,Data Scientist,TERRA TECHNOLOGY,Pune,2-6 Yrs,"Data analysis
functions
Tools
Perl
Data mining
research
SQL
Supply chain"
587,Data Scientist,Xoriant Solutions Pvt Ltd,Pune,7-10 Yrs,"Tensorflow
Java
R
Algorithms
Artificial Intelligence
Data Structures
Natural Language Processing
Keras"
588,Data Scientist,Hire IT People,Pune,2-6 Yrs,"Computer science
Statistical analysis
spark
Machine learning
Hadoop
big data
Statistics
Supervision"
589,Data Scientist Reqd. ||immediate Joiner || Pune Location,Xoriant Solutions Pvt Ltd,Pune,5-8 Yrs,"python
Image Processing
data scientist"
590,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
591,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
592,Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
593,Machine Learning-data Scientist,Saffron Consultancy Services(scs),Pune,6-10 Yrs,"Technical product configuration
c++
C
design
MySQL
JavaScript
integration PHP
HTML"
594,Urgent requirement For Data Scientist Position,Walchandnagar Industries Ltd.,Pune,2-5 Yrs,"SAP
Data Analyst
Power Builder
Data scinetist
Python"
595,Trainee Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,"Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
596,A Data Scientists,CareerXperts Consulting,Pune,2-5 Yrs,"Computer science
Data analysis
Operations research
SAS
Linux
Business analytics
Social media
Data mining"
597,Data scientist visualization,Analytics Vidhya Educon Pvt. Ltd,Pune,8-10 Yrs,"SAS SQL
tableau
Data modeling
Author
HTML
Predictive modeling
Data analytics
Data mining"
598,Data Scientist,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
599,Data Scientist,AppZen,Pune,4-6 Yrs,"Computer science
Computer vision
deep learning
Aerospace
Pharma
Machine learning
Data quality
Predictive modeling"
600,Data Scientist Process Analytics Group,Tridiagonal Solutions Pvt. Ltd.,Pune,7-12 Yrs,"Mining
Computer science
Data management
Pharma
Consulting
Workflow
Data quality
Troubleshooting"
601,Data Scientist,Foghorn Systems Pvt Ltd,Pune,2-4 Yrs,"Tensorflow
Data Science
Cnn
Scipy
Lstm
Xgboost
Neural Networks
Keras"
602,Principal Data Scientist - Big Data/ Machine Learning,HyrEzy Talent Solutions,Delhi,6-11 Yrs,"Data Science
R
Data Pipeline
Data Scientist
Scala
Hadoop
Big Data
Spark"
603,Data Scientist - R/python/machine Learning,Care4careers,Delhi NCR,3-5 Yrs,"analytics
R
Data Scientist
Data Management
predictive analytics
Data Modeling
Machine Learning
Algorithm"
604,Data Scientist - Machine Learning/artificial Intelligence - IT,Talent Acceleration Corridor,"Delhi NCR, Noida",6-11 Yrs,"Data Science
SAS
Data Scientist
Artificial Intelligence
Data Management
Big Data
Marketing Analytics
Machine Learning"
605,Data Scientist (machine Learning /ai)- Financial Services,Mastermind Network,Delhi NCR,6-8 Yrs,"deep learning
python
natural language processing
data science
decision trees
text mining
random forest
machine learning"
606,Junior Data Scientist,AICHUNKS Private Limited,Chandigarh,1-6 Yrs,Machine learning
607,Data Scientist,Mahajan Imaging,"Delhi, Bengaluru, Hyderabad",4-6 Yrs,"Medical imaging
PDF
Email
Imaging
Radiology
Clinical research
Doc
Mammography"
608,"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
609,Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
610,Data Scientist,Beno Staffing,Gurgaon,2-7 Yrs,"Computer science
Data analysis
PDF
Image processing
Staffing
Machine learning
Natural language processing
Analytics"
611,Data Scientist,EVC Ventures,Gurgaon,3-5 Yrs,"algorithms
python
css
rdbms
Forecasting
sql
nosql
Logistic regression"
612,Associate Vice President - Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,8-12 Yrs,"Data Science
NLP
Data Scientist
Big Data
Machine Learning
Analytics
Python"
613,Data Scientist,Decision Point Analytics,Gurgaon,2-4 Yrs,"Statistical programming
Academic Research
SAS
Machine learning
SCALA
Data analytics
Data mining
Business understanding"
614,DATA ARCHITECT/DATA SCIENTIST,AxmiYaN HR Solutions Private Limited,Gurgaon,5-10 Yrs,"Training
MS SQL
Database design
Analytical
Data Architect
Database
Data Analyst
Data mining"
615,Data Scientist,Profisor Services Pvt. Ltd.,Gurgaon,8-13 Yrs,"Algorithms
Bfsi
Analytical
Consulting
Machine learning
Agile
Tools
Healthcare"
616,Data Scientist - Python - Iit/dse/iim/nit,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
617,Data Scientist - Python - BFS - IIT/ DSE/ IIM/ NIT,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
618,"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
619,Data Scientist,VALIANCE ANALYTICS PRIVATE LIMITED,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Xgboost
Neural Networks
Statistical Modeling
Data Analysis
Hypothesis Testing
Machine Learning
Python"
620,Data Scientist - Python - BFS - IIT/ DSE/ IIM/ NIT,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
621,"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
622,Data Scientist,VALIANCE ANALYTICS PRIVATE LIMITED,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Xgboost
Neural Networks
Statistical Modeling
Data Analysis
Hypothesis Testing
Machine Learning
Python"
623,Data Scientist - Python - IIT/ DSE/ IIMS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"NLP
Data Scientist
Data Management
Spark
Python
HBase"
624,Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-3 Yrs,"code
technical
testing
Hypothesis Testing
Data structures
Pattern recognition
Data mining
research"
625,Urgent Hiring For Data Scientist,Amantya Technologies Pvt Ltd,Gurgaon,6-11 Yrs,"Java
Hive
R
Hadoop
SCALA
Kafka
MS SQL Server
Spark"
626,Data Scientist,Redian Software Pvt Ltd,Gurgaon,3-8 Yrs,"Unix
Computer science
Analytical skills
C++
NoSQL
Linux
data science
Machine learning"
627,Data Scientist,CUBIC WEB SOLUTIONS,Gurgaon,3-8 Yrs,"Unix
Computer science
Analytical skills
C++
NoSQL
Linux
data science
Machine learning"
628,Data Scientist,DeHaat,Gurgaon,5-8 Yrs,"PDF
data science
Business solutions"
629,Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,"Mumbai, Bengaluru",4-9 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Data Analytics
Analytics
Analytical Model Development
Python"
630,Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,"Mumbai, Bengaluru",2-7 Yrs,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
631,Data Scientist / Analyst,Adoro,Mumbai,2-5 Yrs,"Computer science
Basic
Senior Analyst
Statistical software
MATLAB
Statistics
SQL
Python"
